second|value
1|10961
2|13068
3|15644
4|16708
5|16956
6|18004
7|20397
8|20397
9|20397
10|20397
11|21267
12|21267
13|21267
14|21267
15|21267
16|21267
17|21267
18|21267
19|21267
20|21267
21|21267
22|21267
23|21267
24|21267
25|21267
26|21267
27|21267
28|21267
29|21267
30|21267
31|21267
32|21267
33|21267
34|21267
35|21267
36|21267
37|21267
38|21267
39|21267
40|21267
41|21267
42|21267
43|21267
44|21267
45|21267
46|21267
47|21267
48|21267
49|21267
50|21267
51|21267
52|21267
53|21267
54|21267
55|21267
56|5029
57|5029
58|5029
59|5029
60|5091
61|5091
62|5091
63|5091
64|5120
65|5120
66|5120
67|5120
68|5202
69|5202
70|5202
71|5202
72|5202
73|5202
74|5202
75|5202
76|5202
77|5202
78|5202
79|5202
80|5202
81|5202
82|5202
83|5202
84|5202
85|5202
86|4821
87|4821
88|4821
89|4821
90|4821
91|4821
92|4821
93|4821
94|4821
95|4821
96|4821
97|4821
98|4879
99|4879
100|4879
101|4879
102|4879
103|4879
104|4879
105|4879
106|4879
107|4879
108|4879
109|4879
110|4879
111|4879
112|4940
113|4940
114|4940
115|4940
116|4610
117|4610
118|4610
119|4610
120|4610
121|4610
122|4610
123|4610
124|4610
125|4610
126|4610
127|4610
128|4610
129|4610
130|4610
131|4610
132|4610
133|4610
134|4610
135|4610
136|4610
137|4610
138|4610
139|4610
140|4610
141|4610
142|4610
143|4610
144|4658
145|4658
146|4124
147|4124
148|4124
149|4124
150|4124
151|4124
152|4124
153|4124
154|4124
155|4124
156|4124
157|4124
158|4281
159|4281
160|4281
161|4281
162|4281
163|4281
164|4495
165|4495
166|4495
167|4495
168|4495
169|4495
170|4495
171|4689
172|4689
173|4689
174|4689
175|4689
176|4616
177|4616
178|4616
179|4617
180|4617
181|4617
182|4617
183|4617
184|4820
185|4820
186|4820
187|4820
188|4820
189|4820
190|4820
191|4820
192|4820
193|4936
194|4936
195|4936
196|4936
197|4936
198|4936
199|4936
200|4936
201|4936
202|4936
203|4936
204|4936
205|4936
206|4655
207|4655
208|4655
209|4655
210|4655
211|4655
212|4655
213|4655
214|4655
215|4655
216|4655
217|4655
218|4655
219|5051
220|5051
221|5051
222|5051
223|5115
224|5115
225|5115
226|5115
227|5115
228|5198
229|5198
230|5211
231|5211
232|5211
233|5211
234|5211
235|5211
236|4850
237|4850
238|4850
239|4850
240|4850
241|4850
242|4850
243|4974
244|4974
245|4974
246|5021
247|5021
248|5021
249|5021
250|5021
251|5021
252|5021
253|5021
254|5021
255|5021
256|5021
257|5021
258|5021
259|5021
260|5021
261|5021
262|5021
263|5294
264|5294
265|5294
266|4846
267|4846
268|4846
269|4846
270|4846
271|4846
272|4846
273|4846
274|4846
275|4846
276|4846
277|4846
278|4846
279|4846
280|4846
281|4846
282|4846
283|4846
284|4846
285|4846
286|4846
287|4846
288|4846
289|4846
290|4846
291|4846
292|4846
293|4846
294|4846
295|4846
296|4404
297|4404
298|4404
299|4404
300|4404
301|4404
302|4404
303|4404
304|4404
305|4404
306|4404
307|4420
308|4420
309|4420
310|4420
311|4420
312|4420
313|4420
314|4420
315|4546
316|4546
317|4546
318|4546
319|4546
320|4546
321|4546
322|4546
323|4546
324|4546
325|4546
326|4190
327|4505
328|4573
329|4573
330|4573
331|4573
332|4573
333|4573
334|4573
335|4573
336|4574
337|4574
338|4574
339|4745
340|4745
341|4745
342|4745
343|4876
344|4876
345|4876
346|5409
347|6339
348|6339
349|6339
350|6339
351|6339
352|6339
353|6339
354|6339
355|6339
356|6339
357|6339
358|6339
359|6339
360|6339
361|6339
362|6339
363|6339
364|6339
365|6339
366|6339
367|6339
368|6339
369|6339
370|6339
371|6339
372|6339
373|6339
374|6339
375|6339
376|6339
377|6339
378|6339
379|6339
380|6339
381|6339
382|6339
383|6339
384|6339
385|6339
386|4728
387|4852
388|4852
389|4852
390|4852
391|4852
392|5047
393|5047
394|5047
395|5047
396|5047
397|5047
398|5171
399|5171
400|5171
401|5171
402|5171
403|5171
404|5171
405|5171
406|5171
407|5171
408|5171
409|5171
410|5171
411|5171
412|5171
413|5171
414|5171
415|5171
416|5171
417|5171
418|5171
419|5171
420|5171
421|5171
422|5171
423|5171
424|5171
425|5171
426|5171
427|5171
428|5171
429|5260
430|5260
431|5260
432|5260
433|5260
434|5260
435|5260
436|5260
437|5260
438|5260
439|5260
440|5260
441|5260
442|5260
443|5260
444|5260
445|5260
446|4640
447|4640
448|4693
449|4693
450|4693
451|4693
452|4708
453|4708
454|4708
455|4708
456|4708
457|4708
458|4708
459|4708
460|4825
461|4825
462|4825
463|4825
464|4825
465|4825
466|4825
467|4825
468|4825
469|4825
470|4825
471|4825
472|4825
473|4892
474|4892
475|4892
476|4557
477|4557
478|4557
479|4623
480|4623
481|4623
482|4623
483|4623
484|4623
485|4623
486|4623
487|4734
488|4734
489|4734
490|4734
491|4734
492|4734
493|4734
494|4734
495|4734
496|4734
497|4734
498|4734
499|4734
500|4734
501|4734
502|4734
503|4736
504|4736
505|4736
506|4557
507|4557
508|4557
509|4557
510|4557
511|4557
512|4557
513|4557
514|4557
515|4557
516|4574
517|4613
518|4613
519|4613
520|4774
521|4774
522|4774
523|4774
524|4774
525|4774
526|4774
527|4774
528|4774
529|4774
530|4774
531|4774
532|4774
533|4774
534|4774
535|4774
536|4661
537|4661
538|4740
539|4740
540|4740
541|4740
542|4740
543|4740
544|4740
545|4740
546|4740
547|4740
548|4740
549|4740
550|4740
551|4740
552|4788
553|4788
554|4788
555|4788
556|4821
557|4821
558|4821
559|4821
560|4821
561|4821
562|4821
563|4821
564|4821
565|4821
566|4437
567|4437
568|4446
569|4467
570|4467
571|4467
572|4467
573|4467
574|4467
575|4766
576|4766
577|4766
578|4766
579|4766
580|4766
581|4766
582|5897
583|5897
584|5897
585|6051
586|6051
587|6051
588|6051
589|6051
590|6051
591|6051
592|6051
593|6051
594|6051
595|6051
596|5746
597|5746
598|5746
599|5746
600|5746
601|5746
602|5746
603|5746
604|5746
605|5746
606|5746
607|5746
608|5746
609|5746
610|5860
611|5860
612|5860
613|5860
614|5860
615|5860
616|5860
617|5860
618|5860
619|5860
620|5860
621|5860
622|5860
623|5860
624|5860
625|5860
626|4394
627|4394
628|5371
629|5602
630|5602
631|5602
632|5602
633|5602
634|5602
635|5602
636|5602
637|5602
638|5602
639|5602
640|5602
641|5602
642|5602
643|5602
644|5602
645|5602
646|5602
647|5621
648|5621
649|5621
650|5621
651|5863
652|5863
653|5863
654|5863
655|5863
656|5790
657|5790
658|5790
659|5790
660|5790
661|5790
662|5790
663|5790
664|5790
665|6040
666|6040
667|6040
668|6040
669|6040
670|6040
671|6040
672|6040
673|6040
674|6040
675|6040
676|6040
677|6040
678|6226
679|6226
680|6226
681|6226
682|6226
683|6226
684|6226
685|6226
686|4899
687|4899
688|4899
689|4899
690|4899
691|4899
692|4899
693|4899
694|4899
695|4899
696|4899
697|4899
698|4899
699|4942
700|4942
701|4942
702|4942
703|4942
704|4942
