second|value
1|3904
2|3904
3|3904
4|3904
5|3904
6|3904
7|3904
8|3904
9|3904
10|3904
11|3904
12|3904
13|3904
14|3904
15|3904
16|3904
17|3904
18|3904
19|3904
20|3904
21|3904
22|3904
23|3904
24|3904
25|3904
26|3904
27|3904
28|3904
29|3904
30|3904
31|3904
32|3904
33|3904
34|3904
35|3904
36|3904
37|3904
38|3904
39|3904
40|3904
41|3904
42|3904
43|3904
44|3904
45|3904
46|3904
47|3904
48|3904
49|3904
50|3904
51|3904
52|3904
53|3904
54|3904
55|3904
56|3904
57|3904
58|3904
59|3904
60|3904
61|3904
62|3904
63|3904
64|3904
65|3904
66|3904
67|3904
68|3904
69|3904
70|3904
71|3904
72|3904
73|3904
74|3904
75|3904
76|3904
77|3904
78|3904
79|3894
80|3889
81|3889
82|3879
83|3879
84|3879
85|3864
86|3859
87|3844
88|3839
89|3839
90|3824
91|3824
92|3804
93|3803
94|3798
95|3790
96|3777
97|3771
98|3767
99|3761
100|3754
101|3741
102|3725
103|3715
104|3702
105|3691
106|3682
107|3670
108|3665
109|3646
110|3257
111|3172
112|3134
113|3124
114|3110
115|3098
116|3085
117|3080
118|3072
119|2938
120|2442
121|2442
122|2221
123|1836
124|1825
125|962
126|667
127|667
128|543
129|543
130|538
131|538
132|538
133|538
134|538
135|538
136|538
137|538
138|538
139|538
140|538
141|538
142|538
143|538
144|538
145|538
146|538
147|538
148|538
149|538
150|538
151|538
152|538
153|538
154|538
155|538
156|538
157|538
158|538
159|538
160|538
161|538
162|538
163|538
164|538
165|538
166|538
167|538
168|538
169|538
170|538
171|538
172|538
173|538
174|538
175|533
176|533
177|533
178|533
179|533
180|533
181|533
182|533
183|533
184|528
185|528
186|514
187|498
188|498
189|498
190|498
191|498
192|498
193|498
194|496
195|439
196|439
197|439
198|439
199|439
200|439
201|439
202|439
203|439
204|439
205|438
206|438
207|438
208|438
209|438
210|438
211|436
212|436
213|436
214|437
215|437
216|437
217|437
218|437
219|437
220|438
221|438
222|438
223|438
224|438
225|438
226|438
227|438
228|439
229|439
230|439
231|440
232|440
233|440
234|440
235|440
236|440
237|440
238|438
239|438
240|422
241|416
242|416
243|416
244|416
245|416
246|416
247|416
248|416
249|416
250|416
251|416
252|416
253|416
254|403
255|403
256|403
257|403
258|403
259|403
260|403
261|403
262|403
263|403
264|403
265|403
266|403
267|403
268|403
269|403
270|403
271|403
272|403
273|403
274|403
275|403
276|403
277|403
278|403
279|403
280|403
