second|value
1|1173
2|1878
3|2658
4|3800
5|4376
6|5659
7|6986
8|8510
9|9766
10|11015
11|13241
12|15909
13|17757
14|19440
15|20448
16|21234
17|21906
18|22555
19|23184
20|23776
21|24357
22|24905
23|25451
24|25972
25|26469
26|26949
27|40909
28|54449
29|54488
30|54512
31|54521
32|54546
33|54563
34|54588
35|54606
36|54621
37|54638
38|54646
39|54665
40|54684
41|54697
42|54704
43|54706
44|54713
45|54730
46|54749
47|54756
48|54668
49|54686
50|54534
51|54635
52|54801
53|54809
54|54814
55|54825
56|54827
57|48012
58|55410
59|55309
60|55388
61|55388
62|55392
63|55387
64|55379
65|55370
66|55367
67|55271
68|55364
69|55355
70|55368
71|55354
72|55354
73|55344
74|55350
75|55323
76|55347
77|55349
78|55345
79|55339
80|55340
81|55336
82|55334
83|55334
84|55332
85|55325
86|55331
87|55187
88|55353
89|55341
90|55362
91|55339
92|55345
93|55339
94|55344
95|55332
96|55337
97|55333
98|55337
99|55323
100|55322
101|55328
102|55264
103|55321
104|55329
105|55321
106|55312
107|55324
108|55305
109|55316
110|55313
111|55311
112|55308
113|55314
114|55305
115|55307
116|55308
117|55154
118|55386
119|55391
120|55378
121|55313
122|55309
123|55385
124|55364
125|55367
126|55360
127|55361
128|55356
129|55359
130|55363
131|55352
132|55351
133|55352
134|55342
135|55350
136|55337
137|55339
138|55337
139|55336
140|55335
141|55329
142|55330
143|55333
144|55324
145|55326
146|55334
147|55034
148|55217
149|55208
150|55209
151|55220
152|55210
153|55220
154|55218
155|55223
156|55215
157|55218
158|55220
159|55219
160|55216
161|55215
162|55217
163|55216
164|55219
165|55218
166|55217
167|55220
168|55218
169|55220
170|55122
171|55221
172|55219
173|55218
174|55220
175|55226
176|55223
177|55286
178|55241
179|55246
180|55249
181|55248
182|55243
183|55244
184|55248
185|55248
186|55248
187|55245
188|55245
189|55249
190|55248
191|55249
192|55246
193|55248
194|55249
195|55247
196|55251
197|55248
198|55249
199|55246
200|55250
201|55248
202|55249
203|55247
204|55249
205|55249
206|55251
207|55062
208|55286
209|55278
210|55277
211|55275
212|55275
213|55279
214|55274
215|55279
216|55276
217|55272
218|55277
219|55273
220|55281
221|55276
222|55277
223|55273
224|55275
225|55277
226|55270
227|55274
228|55264
229|55268
230|55146
231|55274
232|55274
233|55269
234|55273
235|55269
236|55271
237|55157
238|55235
239|55237
240|55230
241|55235
242|55234
243|55238
244|55240
245|55245
246|55239
247|55241
248|55237
249|55243
250|55243
251|55243
252|55245
253|55248
254|55248
255|55248
256|55249
257|55246
258|55248
259|55248
260|55246
261|55251
262|55249
263|55246
264|55251
265|55249
266|55252
267|48363
268|55381
269|55379
270|55374
271|55378
272|55372
273|55367
274|55363
275|55365
276|55365
277|55360
278|55358
279|55355
280|55355
281|55352
282|55352
283|55344
284|55344
285|55348
286|55346
287|55342
288|55337
289|55338
290|55341
291|55336
292|55339
293|55334
294|55336
295|55332
296|55333
297|55103
298|55385
299|55289
300|55373
301|55378
302|55373
303|55374
304|55364
305|55363
306|55364
307|55360
308|55360
309|55357
310|55353
311|55346
312|55345
313|55343
314|55345
315|55342
316|55266
317|55341
318|55337
319|55336
320|55334
321|55335
322|55333
323|55332
324|55332
325|55330
326|55327
327|55500
328|55435
329|55423
330|55423
331|55420
332|55414
333|55407
334|55401
335|55401
336|55402
337|55399
338|55396
339|55391
340|55383
341|55382
342|55382
343|55375
344|55376
345|54975
346|54663
347|55368
348|55290
349|55367
350|55365
351|55365
352|55364
353|55361
354|55361
355|55358
356|55358
357|55450
358|55599
359|55587
360|55581
361|55571
362|55562
363|55554
364|55545
365|55536
366|55531
367|55522
368|55515
369|55509
370|55508
371|55497
372|55498
373|55493
374|55489
375|55480
376|55476
377|55476
378|55473
379|55468
380|55466
381|55425
382|55459
383|55452
384|55452
385|55449
386|55445
387|48484
388|55536
389|55535
390|55526
391|55514
392|55505
393|55500
394|55494
395|55494
396|55483
397|55479
398|55477
399|55472
400|55463
401|55460
402|55458
403|55451
404|55447
405|55448
406|55445
407|55442
408|55432
409|55437
410|55434
411|55425
412|55427
413|55422
414|55423
415|55419
416|55418
417|55412
418|55557
419|55550
420|55541
421|55534
422|55527
423|55515
424|55508
425|55501
426|55498
427|55496
428|55491
429|55484
430|55479
431|55473
432|55472
433|55468
434|55463
435|55453
436|55457
437|55453
438|55450
439|55443
440|55441
441|55440
442|55438
443|55435
444|55429
445|55429
446|55428
447|55422
448|55316
449|55537
450|55526
451|55522
452|55510
453|55505
454|55502
455|55493
456|55494
457|55490
458|55377
459|55476
460|55470
461|55464
462|55464
463|55459
464|55458
465|55452
466|55448
467|55448
468|55439
469|55442
470|55314
471|55436
472|55431
473|55431
474|55427
475|55424
476|55423
477|55419
478|55532
479|55524
480|55516
481|55505
482|55505
483|55495
484|55492
485|55486
486|55482
487|55473
488|55474
489|55465
490|55465
491|55460
492|55456
493|55454
494|55448
495|55447
496|55443
497|55440
498|55434
499|55432
500|55430
501|55424
502|55425
503|55421
504|55420
505|55418
506|55415
507|55414
508|55538
509|55529
510|55520
511|55520
512|55510
513|55506
514|55502
515|55490
516|55489
517|55482
518|55478
519|55478
520|55473
521|55467
522|55467
523|55461
524|55457
525|55451
526|55450
527|55447
528|55372
529|55430
530|55354
531|55436
532|55434
533|55431
534|55428
535|55424
536|55423
537|55423
538|55497
539|55403
540|55487
541|55481
542|55481
543|55472
544|55465
545|55458
546|55458
547|55458
548|55451
549|55451
550|55448
551|55441
552|55435
553|55437
554|55432
555|55429
556|55427
557|55424
558|55419
559|55417
560|55418
561|55412
562|55413
563|55411
564|55410
565|55404
566|55403
567|55404
568|55526
569|55510
570|55504
571|55502
572|55494
573|55494
574|55488
575|55481
576|55476
577|55474
578|55466
579|55466
580|55460
581|55456
582|55452
583|55449
584|55441
585|55444
586|55440
587|55436
588|55355
589|55436
590|55426
591|55429
592|55425
593|55424
594|55421
595|55420
596|55419
597|55417
598|55462
599|55457
600|55452
601|55446
602|55440
603|55436
604|55432
605|55432
606|55423
607|55426
608|55422
609|55419
610|55414
611|55410
612|55407
613|55405
614|55407
615|55404
616|55401
617|55395
618|55399
619|55395
620|55391
621|55391
622|55393
623|55388
624|55386
625|55385
626|55382
627|55385
628|55492
629|55488
630|55478
631|55480
632|55474
633|55470
634|55466
635|55457
